id,ebv
RU00000090385,266.5
DE00000090396,
NL00000090422,-582.8
GB00000090437,443.8
DE00000090443,173.3
GB00000090449,
DE00000090473,12.0
GB00000090485,
GB00000090564,-138.1
FR00000054223,-586.2
GB00000090611,
US00000090675,173.3
DE00000090689,-13.0
GB00000090736,319.0
RU00000090778,
US00000090783,345.2
NL00000090809,
DE00000090899,
GB00000090905,164.5
FR00000090911,545.6
US00000090917,
FR00000076418,-825.4
GB00000082055,-20.1
GB00000090013,
GB00000090018,-320.9
FR00000090030,188.4
US00000090063,
US00000037764,634.7
FR00000089762,24.1
FR00000089773,
US00000089827,173.3
RU00000089830,-628.2
RU00000089849,
NL00000089911,58.1
FR00000089918,-20.1
NL00000005443,919.7
NL00000008740,781.5
RU00000009078,1050.2
DE00000018582,739.1
RU00000036871,1158.3
RU00000042201,1164.6
FR00000037650,680.5
NL00000089790,162.4
FR00000089796,500.4
RU00000089798,173.3
RU00000012513,807.4
RU00000022075,397.2
RU00000090259,-216.2
GB00000090272,
GB00000090273,432.7
GB00000023765,679.8
US00000093074,-13.0
NL00000093076,297.0
RU00000093089,-90.4
DE00000093138,
GB00000093185,
RU00000093211,
FR00000004885,629.8
NL00000005012,712.7
GB00000005037,722.0
US00000005077,402.8
DE00000005097,419.9
FR00000005110,971.3
RU00000005128,419.9
DE00000005206,518.5
FR00000005217,609.1
RU00000005222,661.4
GB00000005223,1210.7
US00000005225,603.4
US00000005226,343.3
FR00000005227,1093.0
RU00000005257,397.2
DE00000005295,650.4
GB00000005302,458.2
GB00000005304,998.9
NL00000005326,953.7
FR00000005328,726.7
RU00000005377,818.1
US00000005391,667.2
US00000005508,665.1
RU00000005606,592.8
US00000005664,900.2
DE00000005672,1072.5
DE00000005678,703.2
FR00000005737,966.1
FR00000005739,1015.2
FR00000005744,515.7
NL00000005761,1207.5
RU00000005789,458.2
US00000005798,1055.5
GB00000003618,885.1
DE00000005811,143.5
NL00000005816,1067.4
RU00000005820,883.1
NL00000005859,1178.5
US00000005860,-821.2
US00000005874,749.3
FR00000005883,359.4
RU00000005891,429.8
NL00000005898,1000.8
NL00000005940,397.2
GB00000005944,819.8
RU00000005945,494.8
GB00000005950,947.4
US00000005967,1159.2
FR00000005968,1106.9
NL00000005972,670.9
RU00000006124,540.8
FR00000006126,969.5
FR00000006131,481.9
GB00000006149,369.8
GB00000006199,571.5
US00000006228,1601.6
FR00000006229,690.0
FR00000006409,534.0
DE00000006431,482.7
RU00000006433,1100.1
DE00000006437,369.8
RU00000006445,918.0
FR00000006482,500.1
US00000006490,573.8
US00000006502,43.4
RU00000006504,767.2
GB00000006512,781.7
GB00000006548,903.6
FR00000006552,670.7
DE00000006562,-287.0
US00000006573,823.2
US00000006574,626.7
GB00000006586,419.9
FR00000006587,484.5
FR00000006651,397.2
GB00000006655,1228.2
NL00000006666,895.7
RU00000007287,343.3
US00000007300,343.3
GB00000007309,717.2
FR00000007344,399.1
US00000007351,791.8
DE00000007352,486.8
US00000007353,809.3
US00000007354,863.4
FR00000007355,494.8
GB00000007368,261.6
GB00000007377,1127.5
NL00000007414,397.2
NL00000007433,757.7
DE00000007441,1164.1
DE00000007481,303.1
NL00000007545,638.7
GB00000007546,614.3
DE00000007575,596.7
RU00000007595,-31.7
FR00000007604,1312.8
RU00000007626,909.4
NL00000007637,886.3
RU00000007640,948.4
DE00000007642,843.8
FR00000007644,419.9
GB00000007697,61.8
DE00000007794,842.0
RU00000007796,788.3
NL00000007840,985.9
DE00000007853,515.9
GB00000007915,912.8
RU00000007932,709.1
NL00000007939,415.7
GB00000007959,1219.1
DE00000007962,587.3
RU00000006728,800.7
GB00000006734,583.1
DE00000006764,102.4
NL00000006773,409.5
US00000006805,625.8
US00000006846,651.6
GB00000006915,494.8
DE00000006916,343.3
DE00000007993,596.1
NL00000008020,679.2
US00000008040,156.3
RU00000008055,524.6
RU00000008086,602.0
RU00000008092,893.4
DE00000008125,506.2
DE00000008128,592.4
FR00000008132,1076.3
FR00000008138,8.3
NL00000008154,715.6
US00000008157,624.1
DE00000008165,528.0
FR00000004266,552.4
GB00000006918,1032.0
RU00000006920,551.9
US00000006921,858.0
NL00000006922,96.3
GB00000006924,674.2
RU00000006925,1020.2
DE00000006927,343.3
DE00000006928,1309.9
NL00000006929,569.9
DE00000006930,1277.1
RU00000006931,1007.4
NL00000006932,282.2
GB00000006933,494.8
NL00000006935,1088.5
NL00000006936,311.7
FR00000006937,331.4
US00000006938,1371.3
NL00000006939,946.8
DE00000006940,343.3
RU00000006941,720.8
DE00000006944,1116.8
GB00000006946,343.3
US00000006947,891.4
DE00000006948,1073.0
NL00000006949,398.4
NL00000006950,805.1
US00000006951,1123.1
NL00000007045,824.0
NL00000007083,463.5
NL00000007118,773.8
US00000007121,1074.3
NL00000007136,876.2
GB00000007158,505.5
DE00000004276,629.3
US00000004288,652.4
NL00000004289,486.3
GB00000004301,925.9
GB00000008190,1216.3
US00000008206,369.8
DE00000008215,921.6
GB00000008216,1267.4
FR00000008225,1150.7
NL00000008267,959.7
RU00000008285,188.9
NL00000008296,965.1
GB00000008299,1007.3
DE00000008309,764.2
US00000008310,494.8
RU00000008312,596.1
RU00000008314,971.3
NL00000004377,1139.3
DE00000004383,977.3
RU00000004385,419.9
DE00000004407,515.8
GB00000004422,707.2
RU00000004428,687.0
FR00000004432,963.3
FR00000007218,748.6
RU00000007232,801.5
NL00000007259,744.4
NL00000009101,604.5
RU00000009103,896.4
RU00000009142,961.1
DE00000009143,563.1
RU00000009148,760.8
FR00000009173,835.1
US00000009197,943.1
RU00000008481,1253.0
RU00000008482,1454.8
NL00000008505,369.2
NL00000008506,1175.6
DE00000008512,898.7
NL00000008532,719.0
US00000008554,1172.1
FR00000008593,369.8
RU00000008603,961.2
DE00000008605,778.3
FR00000008632,983.4
DE00000008646,1061.8
US00000004473,641.8
RU00000004480,964.2
GB00000004508,465.9
DE00000004510,879.9
US00000004511,1288.6
GB00000004512,925.9
RU00000004513,679.2
US00000004514,746.6
RU00000004530,401.5
FR00000004557,661.0
GB00000004573,736.9
NL00000004584,801.1
NL00000009206,270.7
RU00000009209,586.2
DE00000009220,463.5
DE00000009234,957.5
NL00000009246,1466.7
FR00000009273,561.1
US00000009276,781.1
US00000009278,665.6
RU00000009283,555.3
RU00000009285,620.5
RU00000009304,948.2
US00000009322,1285.7
DE00000009348,419.9
FR00000009358,1193.7
FR00000009362,1030.4
GB00000004605,368.3
FR00000004643,458.4
NL00000008652,589.0
DE00000008676,680.8
US00000008709,1425.9
US00000008717,1009.3
GB00000008736,549.3
FR00000008737,845.4
GB00000008738,442.3
GB00000008739,419.9
US00000008741,494.8
US00000008742,1065.3
FR00000008757,763.9
US00000008759,232.1
