id,mother_id,father_id
GB00000090350,GB00000070596,FR00000051087
DE00000090351,GB00000085021,GB00000051158
US00000090352,US00000087323,GB00000091078
FR00000090353,,
GB00000090358,US00000056066,NL00000050889
FR00000090362,US00000072516,FR00000052069
DE00000090364,NL00000090274,GB00000051433
NL00000090365,RU00000055523,RU00000069498
US00000090895,,
DE00000090368,NL00000084666,US00000050303
RU00000090369,,
FR00000090370,NL00000069302,US00000050303
NL00000090374,GB00000053731,DE00000050360
RU00000090376,RU00000070436,US00000080756
FR00000090377,FR00000058057,
FR00000090378,DE00000080346,DE00000050313
GB00000090379,RU00000064439,DE00000051216
GB00000089803,,
RU00000089875,,GB00000058113
RU00000090385,US00000093522,NL00000050868
RU00000090386,US00000053740,DE00000051222
DE00000090387,GB00000057793,NL00000050382
GB00000090390,US00000069482,FR00000050739
DE00000090394,RU00000059076,RU00000051141
DE00000090396,RU00000067677,NL00000051057
GB00000090397,GB00000084203,FR00000051052
GB00000090400,,GB00000051378
FR00000090401,NL00000080488,FR00000093543
GB00000090402,NL00000062062,NL00000051234
FR00000090404,,RU00000050997
GB00000090407,RU00000058862,GB00000088727
FR00000090415,US00000051945,NL00000050732
FR00000090419,DE00000066205,DE00000070447
DE00000090420,US00000079885,NL00000051401
NL00000090422,NL00000053949,NL00000050328
FR00000090424,US00000078364,US00000063525
DE00000090426,US00000060495,RU00000050296
DE00000090431,NL00000075890,GB00000050793
US00000090432,RU00000074630,US00000051365
GB00000090437,DE00000075045,DE00000051206
RU00000090438,RU00000081418,DE00000051331
DE00000090443,US00000093024,FR00000051194
FR00000090446,NL00000059742,US00000050303
US00000090447,NL00000079631,RU00000086568
GB00000090449,RU00000069598,GB00000050980
FR00000090465,US00000067824,NL00000051259
RU00000090466,NL00000070280,NL00000051425
US00000090467,RU00000060757,US00000051108
RU00000090468,NL00000073334,FR00000051456
DE00000090469,DE00000061916,FR00000051339
US00000090470,GB00000070649,US00000051365
US00000090471,,
DE00000090473,NL00000073771,RU00000051449
